,Rating,Title,Review,Review_Date
0,4,Good Performance,Nice mobile. Good Performance One Plus Nord Ce 2. Letest Update Coming 5Gb and after Up to Date mobile performance was Amazing 😇😇😇😇,19 September 2022
1,4,"Compared to older OnePlus models, there is a drop in quality",Pros#Nice looks & good build#Clean UI sans bloatware#Capable primary camera#Good battery life and fast 65W chargingCons#Performance can't match rivals #Misses out on stereo speakers#Low-light camera performance could be better #No Android 12,19 September 2022
2,4,Headphone jack is not working properly,Fingerprint reader is good,21 September 2022
3,4,Good,Good,16 September 2022
4,4,Overall performance is good.,"Like-1. Camera 📸 quality is good.2. Touch is quite smooth and sensetive.3. Display is good.4. Performance is good no hanging issue,I'm not hard user also.5.  Overall design is good.6. 65 Watt charger charging first. it takes 50 to 55 minutes for full charge.Dislikes -1. Battery performance should little better.2. During charge battery gets little heat.3. Flash light power is quite low.4. I think this phone is not water resistant also.5. There is single speaker only. Sound is quite loud but it should give two speakers atleast.",30 August 2022
5,4,Good Mobile Device,Features as advertised. Migration and Data synch was quick and easy. Stable performance. A good buy,19 September 2022
6,4,Worth every penny,Good phone. Decent battery backup. I switched from iphone 6 to this phone and am amazed with the speed and performance. Battery charging is superfast and it lasts as well,18 September 2022
7,4,Good,Good,13 September 2022
8,4,बहुत अच्छा प्रोडक्ट है,बहुत ही अच्छा है,17 September 2022
9,4,Good mobile,Heating problem .outherwise welll,17 September 2022
10,4,Battery issue.,Battery is 4500 mah and should be atleast 6000 for this phone as per the features.,19 September 2022
11,4,Not good,Not good,14 September 2022
12,4,Battery backup not good,Battery backup not good,14 September 2022
13,4,4 star diye hai samjh jao,Kabhi kabhi thoda sa hanging problem ho jati haiBaki thik hai,14 September 2022
14,4,OnePlus Nord ce 2 5 g mobile Touch not working,"My name is Vaheed, I'm buying from Amazon past 4 months back OnePlus Nord ce 2 5 g mobile, Till now mobile not slip my hand to earth, but mobile touch not working properly, kindly suggest me, what I can do.",05 September 2022
15,4,"overall phone functioning is good, worth for money","front camera is good for normal and night mode also rear camera is satisfactory, complete battery charging takes 39 minutes",06 September 2022
16,4,Overall good,Pros1. Superfast charging2. No glitches while using the phone3. Good display4. Light weightCons1. Camera okay. Not very good.2. Sometimes it gets heated up. But it's mild3. Single speaker. But loud.Overall it's not a topnotch phone but it's a good if are not a very very heavy user or a serious game enthusiastic.I am finding the phone quite decent,08 September 2022
17,4,OnePlus Nord CE 2 5G,Battery life good,15 September 2022
